#HMM_family	HMM_len	Query_ID	Query_len	E-value	HMM_start	HMM_end	Query_start	Query_end	Coverage
AA1_3	312	FUN_005015-T1	614	3.3e-64	10	297	15	298	0.919872
AA1_1	303	FUN_005015-T1	614	1.2e-59	1	270	30	295	0.887789
CE1	227	FUN_005018-T1	306	7.9e-27	3	143	53	207	0.616740
GH16_18	158	FUN_005022-T1	451	5.8e-64	1	158	68	224	0.993671
GH16_19	174	FUN_005022-T1	451	2.4e-42	12	174	70	227	0.931034
GH16_21	206	FUN_005022-T1	451	1.1e-22	50	205	76	240	0.752427
GH16	189	FUN_005022-T1	451	6.5e-22	50	188	78	242	0.730159
GH75	220	FUN_005053-T1	300	2e-74	2	220	7	251	0.990909
PL7_4	214	FUN_005054-T1	252	2.3e-63	0	214	30	249	1.000000
PL7	231	FUN_005054-T1	252	5e-38	0	231	30	249	1.000000
PL7_1	219	FUN_005054-T1	252	9.5e-23	1	206	31	239	0.936073
PL7_3	214	FUN_005054-T1	252	4.3e-20	0	209	31	244	0.976636
GH3	216	FUN_005057-T1	955	3e-62	7	216	169	381	0.967593
GT90	250	FUN_005095-T1	596	2.5e-65	2	248	308	585	0.984000
GH12	156	FUN_005114-T1	234	1.8e-49	2	156	86	233	0.987179
GT69	239	FUN_005117-T1	421	8.6e-75	0	238	103	345	0.995816
GH37	491	FUN_005122-T1	686	1e-155	1	489	55	632	0.993890
GT17	284	FUN_005124-T1	370	1.7e-79	4	284	64	358	0.985915
GT57	481	FUN_005162-T1	574	5.8e-144	2	480	54	552	0.993763
AA7	458	FUN_005181-T1	479	1.6e-73	4	454	36	467	0.982533
GT69	239	FUN_005308-T1	515	8.7e-68	0	238	192	433	0.995816
GH35	307	FUN_005357-T1	990	1.7e-87	0	303	51	351	0.986971
GH13_9	301	FUN_005409-T1	691	5.4e-60	0	266	212	482	0.883721
GH13_10	313	FUN_005409-T1	691	5.1e-33	5	145	202	351	0.447284
GH13_11	351	FUN_005409-T1	691	5.7e-23	2	175	202	355	0.492877
GH13_14	289	FUN_005409-T1	691	5.7e-20	1	152	212	348	0.522491
GH13_13	361	FUN_005409-T1	691	1.2e-18	47	182	223	349	0.373961
GH13_37	320	FUN_005409-T1	691	7.5e-18	16	155	210	347	0.434375
