scaffold_1_1 200 5227

scaffold_1_2 200 421
scaffold_1_2 489 1921
scaffold_1_2 1967 2006

scaffold_1_3 200 4705

scaffold_1_4 200 354
scaffold_1_4 400 2101

scaffold_1_5 200 1282

scaffold_1_6 200 307
scaffold_1_6 362 1942
scaffold_1_6 1992 2219

scaffold_1_7 200 468
scaffold_1_7 539 1829

scaffold_1_8 200 1069

scaffold_1_9 200 481
scaffold_1_9 532 2442

scaffold_1_10 200 454
scaffold_1_10 534 871
scaffold_1_10 923 1874

scaffold_1_11 200 212
scaffold_1_11 265 507
scaffold_1_11 555 952

scaffold_1_12 200 381
scaffold_1_12 487 775
scaffold_1_12 881 1083
scaffold_1_12 1134 2067

scaffold_1_13 200 550
scaffold_1_13 596 707
scaffold_1_13 754 2069

scaffold_1_14 200 565
scaffold_1_14 617 873
scaffold_1_14 920 929

scaffold_1_15 200 214
scaffold_1_15 273 357
scaffold_1_15 428 717

scaffold_1_16 200 2548

scaffold_1_17 200 238
scaffold_1_17 457 587
scaffold_1_17 663 963

scaffold_1_18 200 1114

scaffold_1_19 200 475
scaffold_1_19 526 611
scaffold_1_19 658 707
scaffold_1_19 759 978
scaffold_1_19 1025 1454
scaffold_1_19 1501 1554
scaffold_1_19 1604 1912

scaffold_1_20 200 1873

scaffold_1_21 200 979
scaffold_1_21 1028 1630

scaffold_1_22 200 718
scaffold_1_22 801 1178

scaffold_1_23 200 207
scaffold_1_23 275 311
scaffold_1_23 355 419
scaffold_1_23 479 521
scaffold_1_23 576 2162
scaffold_1_23 2216 2275

scaffold_1_24 200 1525

scaffold_1_25 200 721
scaffold_1_25 768 1718

scaffold_1_26 200 231
scaffold_1_26 859 1634
scaffold_1_26 1685 2112

scaffold_1_27 200 1276

scaffold_1_28 200 547
scaffold_1_28 649 1084
scaffold_1_28 1239 1345

scaffold_1_29 200 437
scaffold_1_29 492 1633
scaffold_1_29 1681 1815

scaffold_1_30 200 991

scaffold_1_31 200 237
scaffold_1_31 295 1492

scaffold_1_32 200 1902
scaffold_1_32 1959 2362
scaffold_1_32 2430 2683

scaffold_1_33 200 221
scaffold_1_33 329 373
scaffold_1_33 422 521
scaffold_1_33 575 1596
scaffold_1_33 1657 2084

scaffold_1_34 200 275
scaffold_1_34 326 1376
scaffold_1_34 1427 1688
scaffold_1_34 1738 2163

scaffold_1_35 200 515
scaffold_1_35 568 641
scaffold_1_35 688 812
scaffold_1_35 876 994
scaffold_1_35 1052 1503

scaffold_1_36 200 480
scaffold_1_36 532 873
scaffold_1_36 929 1049
scaffold_1_36 1108 3093
scaffold_1_36 3147 3427
scaffold_1_36 3478 3562

scaffold_1_37 200 284
scaffold_1_37 348 361
scaffold_1_37 413 466
scaffold_1_37 525 1160
scaffold_1_37 1214 1243

scaffold_1_38 200 250
scaffold_1_38 303 1445
scaffold_1_38 1493 1594
scaffold_1_38 1648 1757
scaffold_1_38 1812 1947
scaffold_1_38 2036 2328
scaffold_1_38 2384 2540
scaffold_1_38 2601 2969

scaffold_1_39 200 1267
scaffold_1_39 1323 2124
scaffold_1_39 2186 2404
scaffold_1_39 2456 2788
scaffold_1_39 2841 3191
scaffold_1_39 3758 6231

scaffold_1_40 200 710
scaffold_1_40 765 2057
scaffold_1_40 2114 2142

scaffold_1_41 200 300
scaffold_1_41 383 930
scaffold_1_41 984 1221
scaffold_1_41 1279 1405

