13988at5125	scaffold_140	39113	86571
6190at5125	scaffold_91	42959	55958
9293at5125	scaffold_248	22786	35707
23921at5125	scaffold_388	0	6324
42672at5125	scaffold_30	42038	52977
36460at5125	scaffold_237	0	5595
57925at5125	scaffold_828	0	6531
57925at5125	scaffold_688	0	5314
23905at5125	scaffold_47	122258	132887
31048at5125	scaffold_102	49852	61133
20447at5125	scaffold_24	4394	16365
9556at5125	scaffold_1060	0	5833
9556at5125	scaffold_1219	0	5670
47201at5125	scaffold_163	45218	56495
55057at5125	scaffold_10	215124	225765
55215at5125	scaffold_806	0	6702
55215at5125	scaffold_850	0	5161
52992at5125	scaffold_291	18675	29559
41091at5125	scaffold_171	13065	23703
34680at5125	scaffold_249	37773	48536
53275at5125	scaffold_186	27181	37696
53275at5125	scaffold_169	17787	28308
53275at5125	scaffold_118	51199	61640
26923at5125	scaffold_22	18727	30262
19740at5125	scaffold_860	0	6416
56691at5125	scaffold_249	26980	38189
11307at5125	scaffold_280	0	6307
22624at5125	scaffold_929	0	5541
22624at5125	scaffold_902	0	6235
46680at5125	scaffold_38	32152	43171
44249at5125	scaffold_12	80573	91497
32263at5125	scaffold_47	0	6536
41668at5125	scaffold_217	45373	55942
56708at5125	scaffold_831	0	6547
36969at5125	scaffold_142	696	11835
27383at5125	scaffold_9	130520	141569
57764at5125	scaffold_476	1555	12120
7249at5125	scaffold_473	2917	14814
7249at5125	scaffold_810	0	6674
21066at5125	scaffold_1	397011	408447
10453at5125	scaffold_544	0	6335
10453at5125	scaffold_217	0	6068
4426at5125	scaffold_421	0	6526
4426at5125	scaffold_864	0	6400
17134at5125	scaffold_594	0	9839
46008at5125	scaffold_200	46060	56620
46008at5125	scaffold_161	49448	59960
14516at5125	scaffold_200	38476	50410
34290at5125	scaffold_69	57624	69138
34290at5125	scaffold_28	82694	94091
43647at5125	scaffold_623	0	9250
46405at5125	scaffold_43	138278	149309
44651at5125	scaffold_823	0	5647
42619at5125	scaffold_191	53506	65836
54842at5125	scaffold_149	56153	67112
