39550at5125	scaffold_315	12081	23279
4828at5125	scaffold_13	35565	48174
4828at5125	scaffold_8	98820	111155
7475at5125	scaffold_8	171139	182943
43904at5125	scaffold_143	37220	47859
13988at5125	scaffold_118	15238	26799
13988at5125	scaffold_140	39230	86556
5153at5125	scaffold_172	6295	19157
5153at5125	scaffold_81	86551	98419
31057at5125	scaffold_89	47613	58752
58740at5125	scaffold_93	11535	22082
36238at5125	scaffold_16	42762	53697
3683at5125	scaffold_36	75879	89012
19425at5125	scaffold_9	177388	188929
3522at5125	scaffold_265	22901	37008
12396at5125	scaffold_53	130737	141975
12396at5125	scaffold_45	27908	39153
142at5125	scaffold_74	105678	123418
37320at5125	scaffold_85	47369	58227
31117at5125	scaffold_138	68480	79833
31117at5125	scaffold_176	7318	18526
31117at5125	scaffold_278	23282	34261
22782at5125	scaffold_20	123857	135352
52075at5125	scaffold_15	109373	120200
3281at5125	scaffold_90	90662	104584
7658at5125	scaffold_123	8843	21545
4887at5125	scaffold_35	119479	133817
50082at5125	scaffold_41	81122	92081
53264at5125	scaffold_133	43655	54381
28048at5125	scaffold_20	143800	155201
45322at5125	scaffold_261	10235	20972
53046at5125	scaffold_31	67378	77986
1510at5125	scaffold_64	90969	105352
5399at5125	scaffold_50	13444	25870
53260at5125	scaffold_50	83665	94162
9409at5125	scaffold_227	7930	20767
56115at5125	scaffold_14	176830	187444
9638at5125	scaffold_58	84189	96004
18825at5125	scaffold_90	33419	44898
24215at5125	scaffold_4	176789	187934
24215at5125	scaffold_191	11952	23049
24215at5125	scaffold_38	34305	45288
21705at5125	scaffold_117	32106	43612
57449at5125	scaffold_17	109089	119674
7192at5125	scaffold_97	86691	97284
46859at5125	scaffold_32	112749	123771
46859at5125	scaffold_19	41019	51609
46859at5125	scaffold_11	187824	198276
2219at5125	scaffold_43	125316	138822
1331at5125	scaffold_37	137316	151749
10595at5125	scaffold_43	16248	28279
10595at5125	scaffold_92	1904	13899
42297at5125	scaffold_67	103334	114389
52281at5125	scaffold_39	137477	148383
52849at5125	scaffold_115	47061	58204
8652at5125	scaffold_2	301728	313826
8652at5125	scaffold_87	25942	37519
55700at5125	scaffold_3	266559	277086
