scaffold_1_1 200 404
scaffold_1_1 464 617
scaffold_1_1 687 1410
scaffold_1_1 1473 2627

scaffold_1_2 200 267
scaffold_1_2 361 515
scaffold_1_2 605 2161
scaffold_1_2 2229 2329

scaffold_1_3 200 228
scaffold_1_3 294 307
scaffold_1_3 502 516
scaffold_1_3 646 660
scaffold_1_3 826 843
scaffold_1_3 969 1855

scaffold_1_4 200 291
scaffold_1_4 386 829
scaffold_1_4 910 2645
scaffold_1_4 2727 2937
scaffold_1_4 2986 3064

scaffold_1_5 200 263
scaffold_1_5 579 730
scaffold_1_5 849 974
scaffold_1_5 1059 1484

scaffold_1_6 200 1619
scaffold_1_6 1715 1956
scaffold_1_6 2022 2815
scaffold_1_6 3040 3049
scaffold_1_6 3175 3194
scaffold_1_6 3381 3488
scaffold_1_6 3553 3703

scaffold_1_7 200 950
scaffold_1_7 1006 2225

scaffold_1_8 200 910

scaffold_1_9 200 485
scaffold_1_9 573 827
scaffold_1_9 882 2962

scaffold_1_10 200 583
scaffold_1_10 650 917
scaffold_1_10 957 2350

scaffold_1_11 200 607
scaffold_1_11 705 1934

scaffold_1_12 200 1369

scaffold_1_13 200 307
scaffold_1_13 424 595
scaffold_1_13 714 1228

scaffold_1_14 200 642
scaffold_1_14 703 1037
scaffold_1_14 1104 3043
scaffold_1_14 3115 3291

scaffold_1_15 200 255
scaffold_1_15 392 578
scaffold_1_15 684 1505

scaffold_1_16 200 454
scaffold_1_16 567 694
scaffold_1_16 774 993

scaffold_1_17 200 2188

scaffold_1_18 200 352
scaffold_1_18 439 536
scaffold_1_18 860 1991
scaffold_1_18 2295 3515

scaffold_1_19 200 689
scaffold_1_19 761 2100

scaffold_1_20 200 1286
scaffold_1_20 1413 1551
scaffold_1_20 1654 2482

scaffold_1_21 200 418
scaffold_1_21 521 780
scaffold_1_21 900 1532
scaffold_1_21 1765 1768

scaffold_1_22 200 323
scaffold_1_22 384 422
scaffold_1_22 481 598
scaffold_1_22 655 751
scaffold_1_22 817 819
scaffold_1_22 870 1497
scaffold_1_22 1549 2008
scaffold_1_22 2076 3320
scaffold_1_22 3403 3775

scaffold_1_23 200 367
scaffold_1_23 506 823
scaffold_1_23 958 1164

scaffold_1_24 200 323
scaffold_1_24 415 463
scaffold_1_24 762 906

scaffold_1_25 200 445
scaffold_1_25 499 702
scaffold_1_25 771 1127

scaffold_1_26 200 5577
scaffold_1_26 6053 6068
scaffold_1_26 6399 6409
scaffold_1_26 6571 6601
scaffold_1_26 6701 6710
scaffold_1_26 7178 7211
scaffold_1_26 7268 7285
scaffold_1_26 7371 7384
scaffold_1_26 7687 7708
scaffold_1_26 7989 7998
scaffold_1_26 8192 8205
scaffold_1_26 8279 8293
scaffold_1_26 8362 8375
scaffold_1_26 8728 8742
scaffold_1_26 9022 9032
scaffold_1_26 10038 10049
scaffold_1_26 10348 10422
scaffold_1_26 10483 10485

scaffold_1_27 200 202
scaffold_1_27 260 272
scaffold_1_27 433 448
scaffold_1_27 1043 1319
scaffold_1_27 1401 1838

scaffold_1_28 200 381
scaffold_1_28 477 559
scaffold_1_28 626 1632

scaffold_1_29 200 288
scaffold_1_29 375 1108
scaffold_1_29 1226 1335

scaffold_1_30 200 230
scaffold_1_30 301 420
scaffold_1_30 493 560
scaffold_1_30 634 762
scaffold_1_30 868 1098
scaffold_1_30 1158 1622
scaffold_1_30 1715 2953

scaffold_1_31 200 231
scaffold_1_31 349 463
scaffold_1_31 535 609

scaffold_1_32 200 448
scaffold_1_32 531 1525
scaffold_1_32 1590 1923

scaffold_1_33 200 439
scaffold_1_33 488 550
scaffold_1_33 1001 1489

scaffold_1_34 200 429
scaffold_1_34 636 1323

scaffold_1_35 200 967

scaffold_1_36 200 263
scaffold_1_36 334 771
scaffold_1_36 901 1604

scaffold_1_37 200 412
scaffold_1_37 507 1286
scaffold_1_37 1376 1441

scaffold_1_38 200 216
scaffold_1_38 274 330
scaffold_1_38 447 992
scaffold_1_38 1223 5327
scaffold_1_38 5533 7102
scaffold_1_38 7220 7234
scaffold_1_38 7492 7514
scaffold_1_38 7612 7878
scaffold_1_38 9561 9612
