# BUSCO version is: 2.0 
# The lineage dataset is: hypocreales_odb10 (Creation date: 2020-08-05, number of species: 50, number of BUSCOs: 4494)
# To reproduce this run: python /home/zack/miniconda3/envs/funannotate/lib/python3.7/site-packages/funannotate/aux_scripts/funannotate-BUSCO2.py -i /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/GENOMES/TrichodermaReesei_CBS999.97/FunannotatePredict/predict_misc/busco_augustus.proteins.fasta -o trichoderma_reesei_cbs999.97 -l /home/zack/funannotate_db/hypocreales_odb10/ -m proteins -c 4 -sp anidulans
#
# Busco id	Status	Sequence	Score	Length
11947at5125	Complete	gene1103.t1	564.1	748
11953at5125	Complete	gene1104.t1	825.1	494
11955at5125	Complete	gene1105.t1	857.4	514
11960at5125	Complete	gene1106.t1	961.2	490
11961at5125	Complete	gene1107.t1	1086.6	507
11969at5125	Complete	gene1108.t1	1044.8	537
11971at5125	Complete	gene1109.t1	893.6	507
1198at5125	Complete	gene102.t1	1948.9	1328
11992at5125	Complete	gene1110.t1	1057.6	499
11997at5125	Complete	gene1111.t1	818.5	498
12010at5125	Complete	gene1112.t1	599.3	443
12046at5125	Complete	gene1113.t1	992.1	865
12091at5125	Complete	gene1114.t1	1016.9	728
12092at5125	Complete	gene1115.t1	787.3	436
1210at5125	Complete	gene103.t1	2002.3	1137
12112at5125	Complete	gene1116.t1	1185.9	659
12153at5125	Complete	gene1117.t1	890.2	454
12154at5125	Complete	gene1118.t1	1052.8	504
12162at5125	Complete	gene1119.t1	762.8	486
12169at5125	Complete	gene1120.t1	1050.2	556
12190at5125	Complete	gene1121.t1	1037.1	568
12196at5125	Complete	gene1122.t1	1083.2	616
12199at5125	Complete	gene1123.t1	843.8	514
12207at5125	Complete	gene1124.t1	711.1	529
1220at5125	Complete	gene104.t1	2443.0	1241
12220at5125	Complete	gene1125.t1	988.3	462
12239at5125	Complete	gene1126.t1	1103.6	571
1224at5125	Complete	gene105.t1	2226.4	1193
1225at5125	Complete	gene106.t1	2323.7	1220
12271at5125	Complete	gene1127.t1	1078.5	571
12295at5125	Complete	gene1128.t1	1004.1	474
12301at5125	Complete	gene1129.t1	878.8	493
12311at5125	Complete	gene1130.t1	964.9	466
12321at5125	Complete	gene1131.t1	1170.4	650
12325at5125	Complete	gene1132.t1	807.0	524
12360at5125	Complete	gene1133.t1	977.4	679
12363at5125	Complete	gene1134.t1	808.8	552
12395at5125	Complete	gene1135.t1	689.6	499
12396at5125	Complete	gene1136.t1	810.3	445
12398at5125	Complete	gene1137.t1	624.5	585
12400at5125	Complete	gene1138.t1	967.6	574
1240at5125	Complete	gene107.t1	1254.6	1118
12416at5125	Complete	gene1139.t1	1015.0	481
12437at5125	Complete	gene1140.t1	679.2	428
12438at5125	Complete	gene1141.t1	889.8	459
12441at5125	Complete	gene1142.t1	965.2	588
12460at5125	Complete	gene1143.t1	780.6	419
12464at5125	Complete	gene1144.t1	1081.4	591
12479at5125	Complete	gene1145.t1	982.0	465
12491at5125	Complete	gene1146.t1	789.1	508
12515at5125	Complete	gene1147.t1	567.9	458
12522at5125	Complete	gene1148.t1	1031.0	593
12543at5125	Complete	gene1149.t1	998.5	506
12559at5125	Complete	gene1150.t1	1059.7	518
1255at5125	Complete	gene108.t1	2579.1	1367
12560at5125	Duplicated	gene1151.t1	918.7	579
12560at5125	Duplicated	gene3017.t1	863.4	472
12567at5125	Complete	gene1152.t1	878.8	574
12650at5125	Complete	gene1153.t1	760.8	401
12665at5125	Complete	gene1154.t1	475.9	378
12666at5125	Complete	gene1155.t1	1047.4	500
12677at5125	Complete	gene1156.t1	759.6	474
12687at5125	Complete	gene1157.t1	909.6	537
12690at5125	Complete	gene1158.t1	1116.5	565
12694at5125	Complete	gene1159.t1	1096.3	573
12749at5125	Complete	gene1160.t1	965.7	544
1275at5125	Complete	gene109.t1	2306.7	1146
12761at5125	Complete	gene1161.t1	574.1	458
1276at5125	Complete	gene110.t1	2293.8	1175
12776at5125	Complete	gene1162.t1	976.2	467
12778at5125	Complete	gene1163.t1	1015.7	507
12787at5125	Complete	gene1164.t1	1004.3	559
12818at5125	Complete	gene1165.t1	803.8	419
1281at5125	Complete	gene111.t1	2198.1	1115
12845at5125	Complete	gene1166.t1	906.0	457
1284at5125	Complete	gene112.t1	1829.7	1095
12868at5125	Complete	gene1167.t1	909.5	504
12871at5125	Complete	gene1168.t1	1127.4	531
1287at5125	Complete	gene113.t1	1494.6	949
12884at5125	Complete	gene1169.t1	971.6	495
12920at5125	Complete	gene1170.t1	942.1	523
12934at5125	Complete	gene1171.t1	876.8	617
12935at5125	Complete	gene1172.t1	786.7	486
12958at5125	Complete	gene1173.t1	904.8	505
12960at5125	Complete	gene1174.t1	735.9	410
12971at5125	Complete	gene1175.t1	590.6	752
12981at5125	Complete	gene1176.t1	1000.2	495
12991at5125	Complete	gene1177.t1	1020.8	500
1299at5125	Complete	gene114.t1	2225.8	1235
13019at5125	Complete	gene1178.t1	1071.4	522
13030at5125	Complete	gene1179.t1	841.2	501
13033at5125	Complete	gene1180.t1	748.1	540
13055at5125	Complete	gene1181.t1	803.8	384
13059at5125	Complete	gene1182.t1	929.9	550
1305at5125	Complete	gene115.t1	2040.9	1124
13061at5125	Complete	gene1183.t1	913.4	462
13063at5125	Complete	gene1184.t1	999.7	613
13064at5125	Complete	gene1185.t1	1044.1	586
13066at5125	Complete	gene1186.t1	685.9	520
13067at5125	Complete	gene1187.t1	917.6	557
1307at5125	Complete	gene116.t1	2221.8	1085
13089at5125	Complete	gene1188.t1	926.7	624
13100at5125	Complete	gene1189.t1	1059.3	568
13117at5125	Complete	gene1190.t1	879.2	495
13122at5125	Complete	gene1191.t1	953.4	534
13138at5125	Complete	gene1192.t1	832.0	460
13158at5125	Complete	gene1193.t1	838.8	524
13183at5125	Complete	gene1194.t1	1058.3	529
1318at5125	Complete	gene117.t1	2354.6	1235
13206at5125	Complete	gene1195.t1	1126.6	581
13209at5125	Complete	gene1196.t1	1113.8	581
13216at5125	Complete	gene1197.t1	1008.9	517
13219at5125	Complete	gene1198.t1	838.1	493
13220at5125	Complete	gene1199.t1	1046.9	533
13241at5125	Complete	gene1200.t1	959.8	479
13244at5125	Missing
13255at5125	Complete	gene1201.t1	1029.5	560
13290at5125	Complete	gene1202.t1	984.2	522
13297at5125	Complete	gene1203.t1	984.9	508
13299at5125	Complete	gene1204.t1	832.2	523
13300at5125	Complete	gene1205.t1	1014.4	537
13302at5125	Complete	gene1206.t1	1149.3	590
13308at5125	Complete	gene1207.t1	843.9	545
1331at5125	Complete	gene118.t1	1545.0	1283
13328at5125	Complete	gene1208.t1	897.1	493
13339at5125	Complete	gene1209.t1	1030.1	529
13372at5125	Complete	gene1210.t1	766.7	476
13381at5125	Complete	gene1211.t1	931.3	521
13399at5125	Complete	gene1212.t1	921.9	569
133at5125	Complete	gene8.t1	4418.0	2003
13405at5125	Complete	gene1213.t1	875.9	561
13416at5125	Complete	gene1214.t1	1265.6	616
1341at5125	Complete	gene119.t1	1853.8	1106
13421at5125	Complete	gene1215.t1	978.0	476
13430at5125	Complete	gene1216.t1	941.9	682
13450at5125	Complete	gene1217.t1	862.2	414
13461at5125	Complete	gene1218.t1	698.1	429
13473at5125	Complete	gene1219.t1	852.5	489
13485at5125	Complete	gene1220.t1	966.6	533
13511at5125	Complete	gene1221.t1	1020.1	480
13516at5125	Complete	gene1222.t1	1057.2	788
13543at5125	Complete	gene1223.t1	1030.4	503
13548at5125	Complete	gene1224.t1	834.2	508
13555at5125	Complete	gene1225.t1	899.5	569
13598at5125	Complete	gene1226.t1	1001.4	448
13603at5125	Complete	gene1227.t1	900.9	493
13619at5125	Complete	gene1228.t1	1273.6	737
1361at5125	Complete	gene120.t1	2284.2	1049
13625at5125	Complete	gene1229.t1	841.8	437
1365at5125	Complete	gene121.t1	2226.4	1244
13664at5125	Complete	gene1230.t1	721.3	439
13666at5125	Complete	gene1231.t1	728.7	425
13691at5125	Complete	gene1232.t1	897.8	455
13703at5125	Complete	gene1233.t1	839.7	491
13708at5125	Complete	gene1234.t1	1027.3	520
1370at5125	Complete	gene122.t1	1796.8	1199
13710at5125	Complete	gene1235.t1	644.6	490
13711at5125	Complete	gene1236.t1	1026.9	497
13712at5125	Complete	gene1237.t1	862.2	469
13762at5125	Complete	gene1238.t1	604.8	404
1377at5125	Complete	gene123.t1	1511.1	846
13803at5125	Complete	gene1239.t1	938.5	490
13805at5125	Complete	gene1240.t1	905.0	473
13808at5125	Complete	gene1241.t1	789.2	407
13816at5125	Complete	gene1242.t1	919.2	641
13820at5125	Complete	gene1243.t1	983.9	760
13824at5125	Complete	gene1244.t1	893.1	441
13829at5125	Complete	gene1245.t1	941.2	467
13845at5125	Complete	gene1246.t1	915.0	500
13873at5125	Complete	gene1247.t1	901.5	463
13898at5125	Complete	gene1248.t1	799.0	513
1393at5125	Complete	gene124.t1	2262.8	1211
13949at5125	Complete	gene1249.t1	754.1	408
13959at5125	Complete	gene1250.t1	498.6	413
13960at5125	Complete	gene1251.t1	887.8	426
13974at5125	Complete	gene1252.t1	497.2	359
13977at5125	Complete	gene1253.t1	998.7	489
13985at5125	Complete	gene1254.t1	869.0	541
13987at5125	Complete	gene1255.t1	841.3	596
13988at5125	Complete	gene1256.t1	1062.6	519
13998at5125	Complete	gene1257.t1	837.6	481
14000at5125	Complete	gene1258.t1	927.6	485
14002at5125	Complete	gene1259.t1	874.1	462
1400at5125	Complete	gene125.t1	1935.2	1518
14030at5125	Complete	gene1260.t1	924.3	473
14053at5125	Complete	gene1261.t1	969.9	491
14058at5125	Complete	gene1262.t1	938.9	483
14063at5125	Complete	gene1263.t1	855.6	499
14093at5125	Complete	gene1264.t1	816.4	438
14099at5125	Complete	gene1265.t1	931.0	495
1410at5125	Complete	gene126.t1	2313.4	1134
14140at5125	Complete	gene1266.t1	899.4	578
14152at5125	Complete	gene1267.t1	844.9	435
14158at5125	Complete	gene1268.t1	841.5	419
14165at5125	Missing
14169at5125	Missing
14183at5125	Complete	gene1269.t1	889.0	495
14194at5125	Complete	gene1270.t1	909.3	524
141at5125	Complete	gene9.t1	4311.2	2087
14213at5125	Complete	gene1271.t1	746.0	470
14217at5125	Complete	gene1272.t1	483.0	460
14243at5125	Complete	gene1273.t1	946.5	470
14278at5125	Complete	gene1274.t1	515.2	327
14281at5125	Complete	gene1275.t1	825.3	459
1428at5125	Complete	gene127.t1	2195.2	1168
142at5125	Complete	gene10.t1	4081.3	2128
14313at5125	Complete	gene1276.t1	601.0	371
14319at5125	Complete	gene1277.t1	931.6	516
14334at5125	Complete	gene1278.t1	535.1	420
14337at5125	Complete	gene1279.t1	1097.8	696
14344at5125	Complete	gene1280.t1	841.6	436
14368at5125	Complete	gene1281.t1	734.8	563
14369at5125	Complete	gene1282.t1	1104.8	590
14370at5125	Complete	gene1283.t1	917.7	501
14373at5125	Complete	gene1284.t1	945.2	549
14388at5125	Complete	gene1285.t1	1036.4	489
14389at5125	Complete	gene1286.t1	940.9	475
1438at5125	Complete	gene128.t1	1862.9	1130
14401at5125	Complete	gene1287.t1	848.2	465
14403at5125	Complete	gene1288.t1	992.0	499
1440at5125	Complete	gene129.t1	1834.5	1089
14411at5125	Complete	gene1289.t1	791.6	666
14426at5125	Complete	gene1290.t1	960.0	474
14434at5125	Complete	gene1291.t1	748.7	412
14438at5125	Complete	gene1292.t1	869.3	500
14440at5125	Complete	gene1293.t1	623.3	347
14448at5125	Complete	gene1294.t1	995.3	577
14449at5125	Complete	gene1295.t1	932.0	571
1447at5125	Complete	gene130.t1	2150.9	1089
14490at5125	Complete	gene1296.t1	1053.1	482
14507at5125	Complete	gene1297.t1	923.8	466
14514at5125	Complete	gene1298.t1	972.2	665
14516at5125	Complete	gene1299.t1	1188.3	892
1452at5125	Missing
14536at5125	Complete	gene1300.t1	727.8	444
14562at5125	Complete	gene1301.t1	975.6	459
14592at5125	Complete	gene1302.t1	1044.6	591
14617at5125	Complete	gene1303.t1	570.6	408
